State,StateAbbr,Name,Party,Inauguration,Title,office,officialTwitter,campaignTwitter,othertwitter
South Carolina,SC,Henry McMaster,Republican,2017-01-24,Governor,Governor,henrymcmaster,NA,NA
South Carolina,SC,Pamela Evette,Republican,2019-01-09,Lt. Governor,LtGov,PamelaEvette,NA,NA
South Carolina,SC,Mark Hammond,Republican,2003-01-15,Secretary of State,SecState,MarkHammondSC,NA,NA
South Carolina,SC,Alan Wilson,Republican,2011-01-12,Attorney General,StateAG,scattygenoffice,AGAlanWilson,NA
South Carolina,SC,Curtis Loftis,Republican,2011-01-12,Treasurer,Treasurer,TreasurerLoftis,NA,NA
South Dakota,SD,Kristi Noem,Republican,2019-01-05,Governor,Governor,govkristinoem,KristiNoem,NA
South Dakota,SD,Larry Rhoden,Republican,2019-01-05,Lt. Governor,LtGov,lgrhoden,NA,NA
South Dakota,SD,Steve Barnett,Republican,2019-01-05,Secretary of State,SecState,sodaksos,NA,NA
South Dakota,SD,Jason Ravnsborg,Republican,2019-01-05,Attorney General,StateAG,SDAttorneyGen,JasonRavnsborg,NA
South Dakota,SD,Josh Haeder,Republican,2019-01-05,Treasurer,Treasurer,NA,NA,NA
Tennessee,TN,Bill Lee,Republican,2019-01-19,Governor,Governor,GovBillLee,BillLeeTN,NA
Tennessee,TN,Randy McNally,Republican,2017-01-10,Lt. Governor,LtGov,ltgovmcnally,NA,NA
Tennessee,TN,Tre Hargett,Republican,2009-01-15,Secretary of State,SecState,sectrehargett,NA,NA
Tennessee,TN,Herbert Slatery,Republican,2014-10-01,Attorney General,StateAG,Tnattygen,NA,NA
Tennessee,TN,David Lillard,Republican,2009-01-15,Treasurer,Treasurer,NA,DavidHLillardJr,NA
Texas,TX,Greg Abbott,Republican,2015-01-20,Governor,Governor,GovAbbott,GregAbbott_TX,AbbottCampaign
Texas,TX,Dan Patrick,Republican,2015-01-20,Lt. Governor,LtGov,ltgovtx,DanPatrick,NA
Texas,TX,John Scott,Republican,2021-10-21,Secretary of State,SecState,Txsecofstate,NA,NA
